Balanced Accuracy,F1 Score,Sensitivity,Specificity,Precision
0.867 (0.826–0.908),0.879 (0.839–0.919),0.779 (0.699–0.859),0.953 (0.925–0.981),0.855 (0.798–0.911)
0.859 (0.824–0.894),0.858 (0.823–0.893),0.797 (0.737–0.857),0.924 (0.888–0.961),0.822 (0.742–0.902)
0.873 (0.828–0.918),0.860 (0.821–0.900),0.845 (0.761–0.928),0.901 (0.881–0.922),0.770 (0.725–0.816)
0.859 (0.819–0.899),0.856 (0.821–0.891),0.798 (0.716–0.880),0.920 (0.900–0.940),0.800 (0.763–0.838)
0.865 (0.827–0.903),0.869 (0.836–0.903),0.788 (0.709–0.867),0.942 (0.927–0.957),0.843 (0.812–0.875)
0.856 (0.813–0.900),0.844 (0.809–0.879),0.716 (0.588–0.845),0.916 (0.890–0.943),0.796 (0.755–0.838)
