Balanced Accuracy,F1 Score,Sensitivity,Specificity,Precision
0.873 (0.824–0.917),0.879 (0.824–0.917),0.806 (0.824–0.917),0.953 (0.824–0.917),0.876 (0.824–0.917)
0.878 (0.824–0.917),0.886 (0.824–0.917),0.835 (0.824–0.917),0.938 (0.824–0.917),0.855 (0.824–0.917)
0.846 (0.824–0.917),0.846 (0.824–0.917),0.780 (0.824–0.917),0.916 (0.824–0.917),0.789 (0.824–0.917)
0.854 (0.824–0.917),0.859 (0.824–0.917),0.770 (0.824–0.917),0.938 (0.824–0.917),0.832 (0.824–0.917)
0.860 (0.824–0.917),0.868 (0.824–0.917),0.770 (0.824–0.917),0.949 (0.824–0.917),0.862 (0.824–0.917)
0.853 (0.824–0.917),0.836 (0.824–0.917),0.743 (0.824–0.917),0.942 (0.824–0.917),0.880 (0.824–0.917)
