Balanced Accuracy,F1 Score,Sensitivity,Specificity,Precision
0.873 (0.831–0.916),0.877 (0.838–0.916),0.797 (0.715–0.880),0.949 (0.929–0.970),0.871 (0.809–0.933)
0.859 (0.822–0.896),0.858 (0.823–0.893),0.797 (0.737–0.857),0.924 (0.886–0.962),0.810 (0.737–0.882)
0.873 (0.828–0.918),0.860 (0.821–0.900),0.845 (0.761–0.928),0.901 (0.881–0.922),0.770 (0.725–0.816)
0.859 (0.819–0.899),0.856 (0.821–0.891),0.798 (0.716–0.880),0.920 (0.900–0.940),0.800 (0.763–0.838)
0.865 (0.827–0.903),0.869 (0.836–0.903),0.788 (0.709–0.867),0.942 (0.927–0.957),0.843 (0.812–0.875)
0.837 (0.765–0.909),0.849 (0.817–0.881),0.825 (0.749–0.902),0.927 (0.903–0.952),0.768 (0.734–0.803)
